date,none->stop,stop->cancel
20190101,0,1640
20190201,0,1595
20190301,0,1875
20190401,0,1891
20190501,0,1887
20190601,169,1576
20190701,1031,1105
20190801,1100,1194
20190901,1221,1254
20191001,1550,1384
20191101,1561,1411
20191201,1585,1645
