kind,2017,2018,2019
0-2h,10905,10407,9708
2-4h,6262,6208,5703
4-6h,6651,6577,6359
6-8h,12871,12754,13178
8-10h,21901,22299,23971
10-12h,19968,20370,22271
12-14h,20911,21204,24044
14-16h,23547,23330,25910
16-18h,26371,26994,29159
18-20h,28585,29214,31923
20-22h,21292,21218,21667
22-24h,17071,16573,15707
