headquarter,station,address,longitude,latitude,destLongitude,destLatitude,haver
서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629,127.0669356,37.51028742,127.0572145,37.49805,15.88447585
서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39,127.1249722,37.5293163,127.135378,37.5359971,21.4230385
서울소방재난본부,강북소방서,서울특별시 강북구 한천로 911,127.0381338,37.63309686,127.0226914,37.6354747,23.15651026
서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550,126.8602714,37.55800379,126.8509273,37.556866,11.91988149
서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97,126.9523696,37.47393934,126.9325692,37.4841536,5.000918965
서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480,127.0827678,37.54482179,127.0836246,37.5354079,18.88210715
서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408,126.8652147,37.49780643,126.8664159,37.4996715,5.628174556
서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8,127.0711334,37.63815052,127.0699355,37.6364794,25.25320679
서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666,127.0430549,37.66411602,127.0291228,37.6461401,26.36002499
서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34,127.0666486,37.56396558,127.0441339,37.5596569,18.96105318
서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55,126.9177038,37.49461824,126.9239058,37.4934414,4.585031339
서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76,126.9331743,37.54940176,126.9408265,37.5623446,10.80994551
서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182,126.9360283,37.57322209,126.9364251,37.5813323,13.43803378
서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67,126.9918577,37.49844167,127.0051154,37.5009444,9.352806255
서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331,127.0394038,37.55370465,127.0441339,37.5596569,16.3933849
서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3,127.03179,37.60246244,127.0263537,37.5870165,20.00583423
서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56,127.1426375,37.49993079,127.123509,37.4963836,21.91885315
서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180,126.8720668,37.53017179,126.8636551,37.5284838,8.656046961
서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197,126.9041941,37.51843784,126.9038757,37.5188095,6.98486402
